date,brand,as_of_date_utc,video_mentions,views,likes,comments,top_channels
2025-09-13,beksul,2025-09-13,1.0,857.0,1.0,2.0,행복할 백조의 귀촌 라이프
2025-09-13,terra beer,2025-09-13,1.0,1238.0,7.0,0.0,midnight bites 
2025-09-13,kyochon,2025-09-13,0.0,0.0,0.0,0.0,
2025-09-13,kooksoondang,2025-09-13,0.0,0.0,0.0,0.0,
2025-09-13,jinro,2025-09-13,0.0,0.0,0.0,0.0,
2025-09-13,jin ramen,2025-09-13,6.0,16324.0,1158.0,19.0,Doni Kim;Angie & Ninay;eyuckin 0604
2025-09-13,havmor,2025-09-13,3.0,1124.0,16.0,6.0,@SimplëCorner;Yummy_Yummy;Jeel food vloges 
2025-09-13,emart,2025-09-13,11.0,31044.0,433.0,22.0,하루세끼 daily meals;Cùng Đi Vi Vu;Thủy House - Nhà đẹp Gò Vấp - Quận 12 & Trung tâm
2025-09-13,lotte choco pie,2025-09-13,11.0,17789.0,119.0,10.0,Kashvi's life;D K M VLOGS ;HiddenFunFactory
2025-09-13,dongwon tuna,2025-09-13,0.0,0.0,0.0,0.0,
2025-09-13,chilsung,2025-09-13,0.0,0.0,0.0,0.0,
2025-09-13,chapagetti,2025-09-13,7.0,146385.0,5212.0,18.0,Nibbles-ASMR;Mía Scherbatsky;Mía
2025-09-13,buldak,2025-09-13,218.0,967564.0,26900.0,692.0,Himali Foodie;aimschia;Elizabeth The Polish Mama
2025-09-13,bristol farms,2025-09-13,0.0,0.0,0.0,0.0,
2025-09-13,binggrae,2025-09-13,1.0,997.0,6.0,0.0,K-POP Foods PH
2025-09-13,bibigo,2025-09-13,9.0,2225.0,137.0,118.0,Tela Tv;Auntie Cheryl's Kitchen Manners;Fedha tv show
2025-09-13,daesang,2025-09-13,2.0,30659.0,2649.0,67.0,@its_pankhi;kiyomibaekgu ♡
2025-09-13,toomba,2025-09-13,2.0,21573.0,3114.0,6.0,EIKEIKEAT;강혜라TV
2025-09-13,lotte mart,2025-09-13,23.0,9121.0,60.0,6.0,Cuộc Sống ở Mỹ - tiểu bang New York & Florida;Lovetravel;Nhà Đất Ngọc Hân
2025-09-13,melona,2025-09-13,2.0,15.0,1.0,0.0,AmelLiane🌺🍭;Vanilla
2025-09-13,starkist,2025-09-13,1.0,338.0,0.0,0.0,The Big Brian Show
2025-09-13,shin ramen,2025-09-13,19.0,160114.0,4628.0,41.0,EIKEIKEAT;MoneyAnd;Hungry Panda 🐼
2025-09-13,sempio,2025-09-13,5.0,32205.0,2501.0,898.0,Ragionevole dubbio;Marco Puggini;EIZEN
2025-09-13,samyang,2025-09-13,78.0,370599.0,16871.0,241.0,KelvanH;Adi Dharma;Tina Mini Cooking
2025-09-13,samlip,2025-09-13,1.0,1506.0,7.0,0.0,LIV_VIEW
2025-09-13,red baron,2025-09-13,11.0,3169.0,104.0,16.0,Old Man Diecast;History Quiz Channel;JGM batmóvel
2025-09-13,maxim coffee,2025-09-13,0.0,0.0,0.0,0.0,
2025-09-13,pulmuone,2025-09-13,0.0,0.0,0.0,0.0,
2025-09-13,ottogi,2025-09-13,0.0,0.0,0.0,0.0,
2025-09-13,otoki,2025-09-13,2.0,6711.0,15.0,4.0,Daehee Lee;Otoki Việt Nam
2025-09-13,orion choco pie,2025-09-13,0.0,0.0,0.0,0.0,
2025-09-13,nongshim,2025-09-13,13.0,121444.0,474.0,15.0,달려라 버스 Dalida Bus;judy kim;BusyGamersOfficial
2025-09-13,neoguri,2025-09-13,3.0,1628.0,17.0,0.0,Instant Noodles Mukbang;Huasma
2025-09-13,milkis,2025-09-13,5.0,6071.0,55.0,19.0,★𝓜𝓲𝓵𝓴𝓲𝓼★;Beta Cooks Mummy Khush ;bloxy_heat
2025-09-13,pepero,2025-09-13,2.0,2322.0,18.0,0.0,Remix tv;The HY
2025-09-10,beksul,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,kyochon,2025-09-14,1.0,1560.0,26.0,0.0,Yongry
2025-09-09,kooksoondang,2025-09-14,1.0,5.0,1.0,0.0,Larin Gracie
2025-09-09,jinro,2025-09-14,1.0,1208.0,8.0,1.0,pen sophanny
2025-09-09,jin ramen,2025-09-14,6.0,16652.0,1113.0,14.0,EIKEIKEAT;ArcadeSenseiLive;YUM Eating Mukbang
2025-09-09,havmor,2025-09-14,3.0,1877.0,43.0,1.0,Smiley2023;Nilam ice dish Gola 1;Cravora
2025-09-09,emart,2025-09-14,5.0,1709.0,13.0,2.0,Nt Sen;Hyland_ Bé Hai nhà phố HCM.;Buyer's Guide HQ
2025-09-09,lotte choco pie,2025-09-14,10.0,44567.0,288.0,2.0,YUM YUM CHOCOLATE ;Nandhini Vlogs;SWIN CREATIONS
2025-09-09,dongwon tuna,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,chilsung,2025-09-14,1.0,12.0,1.0,0.0,Hendra Novi
2025-09-09,chapagetti,2025-09-14,3.0,4149.0,51.0,2.0,Onigiri 2407;Tasty Combos;GG AI ASMR SOUND
2025-09-09,buldak,2025-09-14,175.0,2717661.0,77710.0,1224.0,Jiny Maeng;Khawar Ashor;aimschia
2025-09-09,bristol farms,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,binggrae,2025-09-14,3.0,326364.0,7390.0,62.0,Jon's Snacking Time; OR 语音控制室;K FOOD FIGHTERS
2025-09-09,bibigo,2025-09-14,10.0,26166.0,2467.0,30.0,조율킹;사왜사TV ;Chuck Chews
2025-09-09,daesang,2025-09-14,2.0,26021.0,1045.0,8.0,JONGSUKNEWSS;VALOR BANGPINK (AB)
2025-09-09,lotte mart,2025-09-14,8.0,4471.0,46.0,0.0,LOTTE MART Indonesia;Alsayda humairah;LOTTE MART Vietnam
2025-09-09,maxim coffee,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,melona,2025-09-14,6.0,3101.0,41.0,6.0,Mukbangs Be Like;Jahnice Vlog;Александр Чернышев
2025-09-09,terra beer,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,starkist,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,shin ramen,2025-09-14,12.0,58336.0,439.0,32.0,Rochelle Cha;Bubble Maan;annie antonio
2025-09-09,sempio,2025-09-14,3.0,26112.0,945.0,201.0,Scopri i segreti dei personaggi famosi;IA DETECTIVE ITALIA;Spettegolando
2025-09-09,samyang,2025-09-14,60.0,451462.0,44856.0,380.0,Nor Ranita;Khaira Khafi Daily;Adi Dharma
2025-09-09,samlip,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,red baron,2025-09-14,6.0,3627.0,58.0,26.0,Bloo's Self Reliance;petak gemstone pacitan;TRFxSeries
2025-09-09,pulmuone,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,pepero,2025-09-14,9.0,44713.0,3475.0,197.0,El lado izquierdo España;FELIX♥️ LOVES ♥️ STAYS;Anam khan
2025-09-09,ottogi,2025-09-14,3.0,15624.0,1081.0,8.0,EIKEIKEAT;ryyeoo;Calliah Vlogs
2025-09-09,otoki,2025-09-14,2.0,3908.0,35.0,0.0,Nogometna zveza Slovenije;Melissa's Leisures 
2025-09-09,orion choco pie,2025-09-14,3.0,5593.0,40.0,0.0,marim 012;smeh21vekacom;Stationery Stash Spot 
2025-09-09,nongshim,2025-09-14,10.0,199157.0,1067.0,6.0,달려라 버스 Dalida Bus;LCK Tiếng Việt;Ondřej Kruml
2025-09-09,neoguri,2025-09-14,1.0,1534.0,12.0,0.0,Orangemiya 오렌지미야
2025-09-09,milkis,2025-09-14,3.0,8254.0,29.0,0.0,SahabatSelamanyaTV;gonniels 7881  🇮🇩;☆Milkis ☆
2025-09-12,turtle chips,2025-09-13,1.0,1608.0,7.0,0.0,Pierre and Family Adventures
2025-09-14,toomba,2025-09-14,4.0,443980.0,21611.0,457.0,Stoney Choi;80's Punjabi Songs;강혜라TV
2025-09-06,buldak,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,binggrae,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,bibigo,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,turtle chips,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,toomba,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,shin ramen,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,chapagetti,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,sempio,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,red baron,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,samyang,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,chilsung,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,daesang,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,emart,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,pepero,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,ottogi,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,otoki,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,orion choco pie,2025-09-09,0.0,0.0,0.0,0.0,
