report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-09-09,bibigo,10.0,12036.0,627.0,21.0,
2025-09-13,jinro,10.0,2761.0,31.0,5.0,
2025-09-13,kooksoondang,1.0,4.0,1.0,0.0,
2025-09-13,kyochon,2.0,2555.0,61.0,1.0,
2025-09-13,lotte choco pie,40.0,1673306.0,11033.0,21.0,
2025-09-13,lotte mart,53.0,29660.0,256.0,14.0,
2025-09-13,maxim coffee,2.0,1013.0,8.0,0.0,
2025-09-13,melona,13.0,5179.0,79.0,7.0,
2025-09-13,jin ramen,21.0,42120.0,2308.0,43.0,
2025-09-13,milkis,12.0,17012.0,392.0,37.0,
2025-09-13,nongshim,47.0,1306197.0,1901.0,94.0,
2025-09-13,orion choco pie,6.0,14632.0,119.0,3.0,
2025-09-13,otoki,7.0,13928.0,76.0,16.0,
2025-09-13,ottogi,3.0,15195.0,1057.0,7.0,
2025-09-13,pepero,30.0,160804.0,12662.0,312.0,
2025-09-13,pulmuone,1.0,1805.0,17.0,0.0,
2025-09-13,red baron,40.0,17432.0,547.0,59.0,
2025-09-13,neoguri,8.0,4365.0,57.0,6.0,
2025-09-13,havmor,14.0,45693.0,969.0,12.0,
2025-09-13,emart,38.0,39886.0,501.0,32.0,
2025-09-13,dongwon tuna,1.0,7433.0,0.0,78.0,
2025-09-12,pepero,28.0,95131.0,7793.0,271.0,
2025-09-12,pulmuone,1.0,1795.0,17.0,0.0,
2025-09-12,red baron,29.0,13446.0,424.0,41.0,
2025-09-12,samlip,1.0,784.0,62.0,2.0,
2025-09-12,samyang,187.0,601286.0,34025.0,734.0,
2025-09-12,sempio,9.0,61105.0,3564.0,964.0,
2025-09-12,shin ramen,45.0,218494.0,2498.0,75.0,
2025-09-12,toomba,11.0,15936.0,341.0,3.0,
2025-09-12,turtle chips,3.0,1852.0,10.0,2.0,
2025-09-13,beksul,1.0,857.0,1.0,2.0,
2025-09-13,bibigo,33.0,36152.0,2449.0,162.0,
2025-09-13,binggrae,5.0,302528.0,6961.0,62.0,
2025-09-13,bristol farms,1.0,452.0,8.0,0.0,
2025-09-13,buldak,795.0,7023097.0,149137.0,3509.0,
2025-09-13,chapagetti,18.0,174635.0,5542.0,25.0,
2025-09-13,chilsung,1.0,12.0,1.0,0.0,
2025-09-13,daesang,8.0,71499.0,4149.0,82.0,
2025-09-13,samlip,2.0,2933.0,169.0,3.0,
2025-09-13,samyang,265.0,1168993.0,67143.0,1195.0,
2025-09-13,sempio,14.0,99597.0,6210.0,1961.0,
2025-09-13,shin ramen,64.0,490547.0,8067.0,137.0,
2025-09-14,maxim coffee,2.0,1022.0,10.0,0.0,
2025-09-14,melona,23.0,11430.0,161.0,11.0,
2025-09-14,milkis,19.0,18459.0,417.0,49.0,
2025-09-14,neoguri,11.0,6285.0,81.0,6.0,
2025-09-14,nongshim,58.0,1812628.0,2701.0,115.0,
2025-09-14,orion choco pie,6.0,15131.0,122.0,3.0,
2025-09-14,otoki,7.0,14351.0,77.0,17.0,
2025-09-14,ottogi,3.0,15624.0,1081.0,8.0,
2025-09-14,pepero,38.0,188606.0,14287.0,346.0,
2025-09-14,pulmuone,1.0,1807.0,18.0,1.0,
2025-09-14,red baron,47.0,21246.0,606.0,71.0,
2025-09-14,samlip,2.0,3072.0,204.0,3.0,
2025-09-14,samyang,331.0,1694668.0,85657.0,1571.0,
2025-09-14,sempio,19.0,143977.0,9443.0,2882.0,
2025-09-14,shin ramen,79.0,1120308.0,31690.0,632.0,
2025-09-14,starkist,1.0,342.0,0.0,0.0,
2025-09-14,terra beer,1.0,1255.0,9.0,1.0,
2025-09-14,lotte mart,63.0,71821.0,506.0,17.0,
2025-09-12,ottogi,3.0,13655.0,1019.0,6.0,
2025-09-14,lotte choco pie,47.0,2183694.0,14937.0,32.0,
2025-09-14,kooksoondang,1.0,5.0,1.0,0.0,
2025-09-13,starkist,1.0,338.0,0.0,0.0,
2025-09-13,terra beer,1.0,1238.0,7.0,0.0,
