video_id,as_of_date_utc,viewCount,likeCount,commentCount
3YKSyG4yjSM,2025-09-09,1213.0,8.0,1.0
RH2OTtM4CFo,2025-09-14,10.0,2.0,0.0
3ryRHQ-Vkbs,2025-09-14,195.0,5.0,0.0
E4w5h6GSZwc,2025-09-14,289.0,53.0,1.0
uD7-7Cjv76U,2025-09-14,2.0,0.0,0.0
4E0vWj2XOZs,2025-09-14,14.0,0.0,0.0
roRKFZ-OcFY,2025-09-14,22.0,0.0,0.0
qLOKclFm878,2025-09-14,1232.0,25.0,1.0
sZppzt4VcmM,2025-09-14,73.0,16.0,11.0
A21_Q0V1jns,2025-09-14,10204.0,607.0,12.0
fbxtc4bBM6E,2025-09-14,4319.0,39.0,0.0
Lt8Bqy9r4-A,2025-09-14,51.0,5.0,1.0
J3vJ5lM-FZ0,2025-09-14,1478.0,16.0,0.0
_Jt5Y6Reg0U,2025-09-14,19340.0,926.0,4.0
NrWxtZE6RJw,2025-09-14,18810.0,233.0,0.0
aNdtKgbd9Iw,2025-09-14,1417.0,49.0,2.0
GXv-Bkxxsyg,2025-09-14,15369.0,117.0,5.0
cx4NzBD_i9I,2025-09-14,5.0,1.0,0.0
IwE58a28fQw,2025-09-14,967.0,16.0,13.0
bdDpjBGNJ8k,2025-09-14,587706.0,32517.0,212.0
b20KFZOETmc,2025-09-14,1104.0,13.0,0.0
Bjek-8LZwPc,2025-09-14,34.0,3.0,1.0
KEmb43w6nv8,2025-09-14,671.0,19.0,0.0
5dFoabft5k0,2025-09-14,1416.0,69.0,2.0
jM_v0EGCcv0,2025-09-14,1637.0,12.0,0.0
PS90nOzqyjY,2025-09-14,84334.0,777.0,7.0
2WR22Q4oAsI,2025-09-14,3.0,1.0,0.0
_JtZAR3Dmfw,2025-09-14,5624.0,46.0,3.0
hYyoTOtHpg0,2025-09-14,13.0,2.0,0.0
u9vVrlWJ8Gw,2025-09-14,1144951.0,23520.0,518.0
1iDynF0V9zQ,2025-09-14,2831.0,37.0,1.0
jmYlhw30IIQ,2025-09-14,7046.0,267.0,0.0
PNY2hFQL040,2025-09-14,1518.0,12.0,0.0
sfMmwdhRuo8,2025-09-14,42.0,6.0,1.0
y974B4DCu94,2025-09-14,307.0,3.0,2.0
5-nWgxCHM88,2025-09-14,2.0,1.0,0.0
Bv1XuYmerWU,2025-09-14,1771.0,37.0,0.0
MQSoluy6mBg,2025-09-14,2181.0,19.0,3.0
T2cJ9_y3Bts,2025-09-14,203.0,3.0,0.0
A1cxD_pM3LI,2025-09-14,33.0,1.0,0.0
HGpGZz3JqKo,2025-09-14,175.0,1.0,0.0
kTYFQLIk_2M,2025-09-14,0.0,0.0,0.0
