date,brand,as_of_date_utc,video_mentions,views,likes,comments,top_channels
2025-08-28,bibigo,2025-09-03,0,0,0,0,
2025-08-28,buldak,2025-09-03,0,0,0,0,
2025-08-28,jin ramen,2025-09-03,0,0,0,0,
2025-08-28,nongshim,2025-09-03,0,0,0,0,
2025-08-28,pulmuone,2025-09-03,0,0,0,0,
2025-08-28,samyang,2025-09-03,0,0,0,0,
2025-08-28,shin ramen,2025-09-03,0,0,0,0,
2025-08-28,shin ramyun,2025-09-03,0,0,0,0,
2025-08-29,bibigo,2025-09-03,0,0,0,0,
2025-08-29,buldak,2025-09-03,0,0,0,0,
2025-08-29,jin ramen,2025-09-03,0,0,0,0,
2025-08-29,nongshim,2025-09-03,0,0,0,0,
2025-08-29,pulmuone,2025-09-03,0,0,0,0,
2025-08-29,samyang,2025-09-03,0,0,0,0,
2025-08-29,shin ramen,2025-09-03,0,0,0,0,
2025-08-29,shin ramyun,2025-09-03,0,0,0,0,
2025-08-30,bibigo,2025-09-03,0,0,0,0,
2025-08-30,buldak,2025-09-03,0,0,0,0,
2025-08-30,jin ramen,2025-09-03,0,0,0,0,
2025-08-30,nongshim,2025-09-03,0,0,0,0,
2025-08-30,pulmuone,2025-09-03,0,0,0,0,
2025-08-30,samyang,2025-09-03,0,0,0,0,
2025-08-30,shin ramen,2025-09-03,0,0,0,0,
2025-08-30,shin ramyun,2025-09-03,0,0,0,0,
2025-08-31,bibigo,2025-09-03,0,0,0,0,
2025-08-31,buldak,2025-09-03,0,0,0,0,
2025-08-31,jin ramen,2025-09-03,0,0,0,0,
2025-08-31,nongshim,2025-09-03,0,0,0,0,
2025-08-31,pulmuone,2025-09-03,0,0,0,0,
2025-08-31,samyang,2025-09-03,0,0,0,0,
2025-08-31,shin ramen,2025-09-03,0,0,0,0,
2025-08-31,shin ramyun,2025-09-03,0,0,0,0,
2025-09-01,bibigo,2025-09-03,0,0,0,0,
2025-09-01,buldak,2025-09-03,0,0,0,0,
2025-09-01,jin ramen,2025-09-03,0,0,0,0,
2025-09-01,nongshim,2025-09-03,0,0,0,0,
2025-09-01,pulmuone,2025-09-03,0,0,0,0,
2025-09-01,samyang,2025-09-03,0,0,0,0,
2025-09-01,shin ramen,2025-09-03,0,0,0,0,
2025-09-01,shin ramyun,2025-09-03,0,0,0,0,
2025-09-02,bibigo,2025-09-03,0,0,0,0,
2025-09-02,buldak,2025-09-03,0,0,0,0,
2025-09-02,jin ramen,2025-09-03,0,0,0,0,
2025-09-02,nongshim,2025-09-03,0,0,0,0,
2025-09-02,pulmuone,2025-09-03,0,0,0,0,
2025-09-02,samyang,2025-09-03,0,0,0,0,
