report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-09-03,bibigo,5,4103,75,12,
2025-09-03,buldak,230,613080,17370,1438,
2025-09-03,jin ramen,3,2172,62,8,
2025-09-03,nongshim,18,18119,205,10,
2025-09-03,pulmuone,1,67,1,0,
2025-09-03,samyang,87,268462,3716,156,
2025-09-03,shin ramen,7,25133,1586,46,
2025-09-03,shin ramyun,7,4922,76,3,
2025-09-04,bibigo,8,14382,185,13,
2025-09-04,buldak,419,1471170,39618,2112,
2025-09-04,jin ramen,5,6094,94,8,
2025-09-04,nongshim,27,33563,340,26,
2025-09-04,pulmuone,1,251,5,0,
2025-09-04,samyang,167,441641,10235,309,
2025-09-04,shin ramen,14,48449,2263,56,
2025-09-04,shin ramyun,21,30563,357,38,
2025-09-05,bibigo,13,59207,2154,37,
2025-09-05,buldak,619,3458741,108627,4083,
2025-09-05,chum churum,1,166,1,0,
2025-09-05,jin ramen,10,15797,234,13,
2025-09-05,nongshim,41,190582,690,51,
2025-09-05,pulmuone,2,947,10,1,
2025-09-05,samyang,239,1005466,18172,443,
2025-09-05,shin ramen,20,215933,2976,71,
2025-09-05,shin ramyun,30,303354,2150,229,
2025-09-06,bibigo,14,74965,2700,46,
2025-09-06,buldak,855,6041151,178197,5504,
2025-09-06,chum churum,1,174,1,0,
2025-09-06,jin ramen,16,64543,1086,53,
2025-09-06,nongshim,53,309598,1129,90,
2025-09-06,pulmuone,3,1274,14,1,
2025-09-06,samyang,318,1699733,44478,710,
2025-09-06,shin ramen,26,380734,4416,118,
2025-09-06,shin ramyun,42,499523,3647,331,
2025-09-07,bibigo,15,78036,2794,48,
2025-09-07,buldak,1075,8524645,249575,6638,
2025-09-07,chum churum,1,176,1,0,
2025-09-07,jin ramen,18,78880,1510,64,
2025-09-07,nongshim,62,565055,4726,306,
2025-09-07,pulmuone,3,1281,15,1,
2025-09-07,samyang,411,2449022,81554,1175,
2025-09-07,shin ramen,35,510493,4909,146,
2025-09-07,shin ramyun,58,681997,4379,406,
2025-09-08,bibigo,18,79700,2794,48,
2025-09-08,buldak,1271,8969729,261059,7155,
2025-09-08,chum churum,1,176,1,0,
2025-09-08,jin ramen,22,82076,1539,66,
2025-09-08,nongshim,74,578531,4977,340,
2025-09-08,pulmuone,4,8920,420,11,
2025-09-08,samyang,482,2576105,84971,1314,
2025-09-08,shin ramen,41,517035,5160,149,
2025-09-08,shin ramyun,70,691099,4452,408,
2025-09-09,bibigo,28,92404,2959,66,
2025-09-09,buldak,1437,11267773,316566,8265,
2025-09-09,chum churum,1,176,1,0,
2025-09-09,jin ramen,28,96195,1973,72,
2025-09-09,nongshim,84,753166,5578,332,
2025-09-09,pulmuone,4,11446,507,14,
2025-09-09,samyang,543,3021657,100819,1652,
2025-09-09,shin ramen,48,669973,5978,167,
2025-09-09,shin ramyun,83,885273,5480,459,
