video_id,as_of_date_utc,viewCount,likeCount,commentCount
VDWbrSZT7nQ,2025-09-03,1261,0,3
ddcoYo9CPZk,2025-09-03,302,6,1
EiXmisHKVfY,2025-09-03,1545,0,3
QE65GEnm0pM,2025-09-03,1168,11,0
xAg841H87Mk,2025-09-03,2,1,0
wpMhquyDg10,2025-09-03,720,11,2
E0QnLpSIeek,2025-09-03,1527,15,0
9ZUgLuICggE,2025-09-03,2148,9,0
o8n1Wa0KqMU,2025-09-03,1,0,0
XBvm1FlvEgU,2025-09-03,743,19,0
k7_gP7baZxA,2025-09-03,1973,18,0
lmzHZNvqO00,2025-09-03,12,1,1
kUfD5LdQclI,2025-09-03,1067,12,0
JIS53JSjY8I,2025-09-03,1,0,0
sYhy-IkPexU,2025-09-03,1079,0,0
bQ6LqCjauPk,2025-09-03,38,1,0
VsOOTyKPUhU,2025-09-03,8,0,1
0-jkxH759cY,2025-09-03,723,11,1
kAh4ive5GqM,2025-09-03,2,0,0
CqwEXSEWYI8,2025-09-03,3,1,0
mHCW98DpJx8,2025-09-03,1455,32,2
PsCMppy_Xbk,2025-09-03,801,30,6
zef_wdBquPY,2025-09-03,13,0,0
o1F4ZhYdKSk,2025-09-03,362,2,0
YLNAPSALkTI,2025-09-03,733,9,2
_HgbkERnW7c,2025-09-03,59,9,0
PkbwmA3Qu6o,2025-09-03,4,0,0
1SfVIYapcfs,2025-09-03,12637,918,1
hot8OHt9WOA,2025-09-03,1377,3,0
fIugjmpLysA,2025-09-03,180,46,3
7DJ4sntzjXM,2025-09-03,76115,5165,152
TE3qfIKHaJw,2025-09-03,1347,23,1
Tmw_ST-aQAw,2025-09-03,502,2,1
sIoVuoMBD3Q,2025-09-03,108,0,0
puQpywHG2ds,2025-09-03,17,2,0
yPzk_xEiGGc,2025-09-03,26,8,3
MeVCVoJIXF8,2025-09-03,0,0,0
rEVpoLBhkoA,2025-09-03,1,0,0
11CpzKrGoB4,2025-09-03,576,14,1
qQ9-4pHv5vU,2025-09-03,1771,15,0
Y2Wkx1JfpX4,2025-09-03,1026,9,1
nf7lNfes9P4,2025-09-03,22,0,0
NBaUqoQKsJQ,2025-09-03,579,7,0
2xTxIZsAo1Q,2025-09-03,1315,11,0
xGBs6bapQUI,2025-09-03,572,3,0
L8fIM6NpFJI,2025-09-03,521,7,2
7R8w76jQ1AY,2025-09-03,750,7,0
bt5ittiJ3nA,2025-09-03,15274,552,65
_21vcFcImDs,2025-09-03,0,0,0
TRZzC7kDM9M,2025-09-03,2051,17,0
d-jBVlhbL1I,2025-09-03,423,10,0
LD6qYhkc5KE,2025-09-03,1049,24,5
WkdGrgsmxe8,2025-09-03,1413,2,0
N5P3oEEa-q8,2025-09-03,114,1,0
o1Ge9-pYNYA,2025-09-03,2064,45,0
J0jkvKfSN50,2025-09-03,0,0,0
VV0vBgNaNFk,2025-09-03,0,0,0
QkkB-7d3DBA,2025-09-03,0,0,0
C-nFNkhrUTA,2025-09-03,166,2,0
EfZJocY0CLM,2025-09-03,3,0,0
qAznAyn1fWo,2025-09-03,20,1,3
mF7KFGRMSsE,2025-09-03,9,1,0
glNjVRynTAo,2025-09-03,1514,12,0
asDLIhIyFGw,2025-09-03,5,1,0
x_qU-Yn_fwo,2025-09-03,658,12,0
Z034leIwD50,2025-09-03,947,10,0
kqPAiVvW9aI,2025-09-03,1439,23,2
-5-9uYMiEHc,2025-09-03,529,3,0
60Wcy24EHAM,2025-09-03,8,1,0
7jvYyLN5gd8,2025-09-03,6,1,0
wF5qC5xhlt8,2025-09-03,599,6,2
8H0hc2WvWI4,2025-09-03,1895,135,28
APFA35hQUfw,2025-09-03,2410,16,5
ZEf38NBUFXY,2025-09-03,16281,283,20
b4deB8N2SC4,2025-09-03,4,0,0
50jVOQ7xZWY,2025-09-03,7,2,0
0Tl5Noov-e4,2025-09-03,128,3,0
AwjudQoVuAU,2025-09-03,498,4,0
pCQ0BzCnGko,2025-09-03,9,0,0
63PHA3Q5mDY,2025-09-03,1749,56,12
fq47HqeMZ5w,2025-09-03,393,2,0
hAgKtXNMRdY,2025-09-03,5,1,0
mBWIhGCjXY4,2025-09-03,1709,69,9
sGsd5DSd4jI,2025-09-03,1128,0,0
RI59cF5-L4Y,2025-09-03,10,0,0
cmD5LrOVYsY,2025-09-03,235,1,0
v5JbBoE2Qvw,2025-09-03,1859,12,0
ZzqQa5h2XYs,2025-09-03,881,6,0
DOOFJZOPSpQ,2025-09-03,1187,30,2
hcSlyIZraKQ,2025-09-03,403,2,0
mGqF3R4gedk,2025-09-03,5,1,0
l5oCZxg-hUw,2025-09-03,48,2,1
au-zAlLswRA,2025-09-03,1267,12,1
caMwGFBC6xI,2025-09-03,544,27,4
T2tLPzRnXOs,2025-09-03,290,2,1
nX2gtEb122Y,2025-09-03,7,1,0
PfvPWMffTeA,2025-09-03,18996,1403,524
ztUz0XgXojc,2025-09-03,1387,16,0
7DvEKqiFgpE,2025-09-03,10236,186,5
WOvzFSAa9Y8,2025-09-03,2297,96,1
FPWBa6yhjtk,2025-09-03,14,4,3
1FiS4GS0RTQ,2025-09-03,1336,9,0
I-YEAF09v84,2025-09-03,859,10,3
l1juRS03ZJo,2025-09-03,16,3,1
KzyBbHpt__Y,2025-09-03,1642,11,0
thJbvl8iT2w,2025-09-03,889,8,5
IRfXK6kegi0,2025-09-03,1072,8,0
uFqIDPaWBAY,2025-09-03,921,36,0
LitYk1GMj54,2025-09-03,4,1,0
-pTG01Iiquc,2025-09-03,1464,20,0
pZS41akcFk8,2025-09-03,1555,19,2
wePtDyLbwZ4,2025-09-03,17,3,3
ECIwO_bORTU,2025-09-03,1224,36,2
8NkmdTW-PcA,2025-09-03,659,14,2
RpYMHdVjADE,2025-09-03,0,0,0
FstGoJ73PWk,2025-09-03,21690,999,64
yIVk9OXNfb4,2025-09-03,12,1,0
WSBSu7TVrPg,2025-09-03,1304,248,3
qjxSlReL-lk,2025-09-03,8,1,0
GEmwLj09R9Y,2025-09-03,1695,6,0
TFFpUGr0RUE,2025-09-03,1,0,0
T9nbIDku5zI,2025-09-03,22282,429,10
DceIv12Xm4o,2025-09-03,560,21,2
nTyZNSFEHug,2025-09-03,2,1,0
73rJ_eAvpOA,2025-09-03,13,1,0
5ZECmP9uL9s,2025-09-03,2938,156,3
KXdmq8AvHBQ,2025-09-03,197,0,0
zxVw0pKkjkM,2025-09-03,2724,18,32
A2Yxcp3lBCc,2025-09-03,2015,11,16
CcTtmdPIaqM,2025-09-03,2012,6,8
NtzJKwYFsfQ,2025-09-03,1,0,0
Z5A_Pb2FhmQ,2025-09-03,1413,21,0
_DCvRJaiCcA,2025-09-03,777,3,0
Z54mRiPVMq0,2025-09-03,76,2,7
Hoc51a_bGrA,2025-09-03,1,0,0
L1dAYziPXDM,2025-09-03,5,2,0
UpQxOQKsMUg,2025-09-03,1848,17,0
SBU9XWOFkBM,2025-09-03,1931,16,2
jf7HxRmrU3k,2025-09-03,884,14,3
8QfeHzL6_9Q,2025-09-03,1292,10,2
zvdj756OeXg,2025-09-03,1611,25,0
1mZw2Q2g-To,2025-09-03,1408,9,0
F_uwheCqInE,2025-09-03,44,6,2
r9cFFqtKmlg,2025-09-03,10314,324,8
u3ZP_QIUU10,2025-09-03,1421,7,0
DyazwT05v7w,2025-09-03,379,9,14
hRYX3GRIYbI,2025-09-03,1871,11,0
