video_id,as_of_date_utc,viewCount,likeCount,commentCount
3YKSyG4yjSM,2025-09-09,1213,8,1
N3_OaTJqhsw,2025-09-09,2397,156,1
8Wrw4m2d6VU,2025-09-09,6447,225,4
2HyHHLb-o_o,2025-09-09,2321,189,23
JPuX3nubPOw,2025-09-09,2,0,0
oACMJo4ifew,2025-09-09,646,26,0
00mtqL3G-nI,2025-09-09,1106,8,0
WeUaradVnxA,2025-09-09,0,0,0
LpmK-bS8i0E,2025-09-09,1,0,0
4D3mmp04VWA,2025-09-09,4,0,0
x5lfhWpjXuw,2025-09-09,645,27,7
X8KASCxvRSU,2025-09-09,4,1,0
Awbc5JPIPxI,2025-09-09,1305,9,0
xteg26zq9Sg,2025-09-09,1078,12,0
OsLF2sWUL-U,2025-09-09,1832,12,0
35Vr5Da_Iq0,2025-09-09,2,1,0
Qois3eYbySw,2025-09-09,453,32,4
cVN9ltP76Ko,2025-09-09,5,1,0
4qs-FuvcbSk,2025-09-09,1366,0,0
iXt9h_q-0WQ,2025-09-09,1405,13,0
jlcWwjGOyEU,2025-09-09,5,0,0
EcXq_DAKTNc,2025-09-09,4,0,0
7p_5sTi9MgQ,2025-09-09,6,0,0
24LuJ6muFzg,2025-09-09,5022,479,4
5nRskhSmFmE,2025-09-09,3,1,0
Z1COmFuWREc,2025-09-09,31,7,8
-tDpHT1IB7Q,2025-09-09,4,2,0
SVGIwmiIBik,2025-09-09,574,11,0
fOrvm9Gdazw,2025-09-09,9,1,0
0LBbRiFSwWE,2025-09-09,1614,21,3
S3jx-2RX1Fw,2025-09-09,2,0,0
AHBpoNdZ0EQ,2025-09-09,286,4,3
1qRDiHWYkyg,2025-09-09,1027,13,0
I138M41czrI,2025-09-09,1844,28,0
6chmtrt_Itg,2025-09-09,1611,26,0
PvtEmPVdlIk,2025-09-09,579,12,0
yTEdlDPs5y4,2025-09-09,1193,0,0
UThZm_EsQ4I,2025-09-09,19,1,0
65z_9HO6Vco,2025-09-09,2,1,0
aPLReQ-5nI8,2025-09-09,1513,21,0
XSSv2mTb4JM,2025-09-09,6,1,0
4D0TE7fIs4o,2025-09-09,1193,16,0
n3HEoyD_7no,2025-09-09,508,1,0
Ox7P4kk-XA8,2025-09-09,165,6,1
zbF1cyqougc,2025-09-09,7922,271,2
QC-AmMeuoNE,2025-09-09,515,5,0
-T3a50yAO2Y,2025-09-09,5,1,0
RK0G2-Lc7N8,2025-09-09,7,0,1
nFzeoGLuYhU,2025-09-09,6,0,0
al9JehpvchM,2025-09-09,2,1,0
eMlxi9uxNPs,2025-09-09,1,1,0
J-Q0kGPR8xk,2025-09-09,1885,25,0
h3vyq0NVN9I,2025-09-09,50,5,1
I314QnvR284,2025-09-09,4,0,0
LYUCs4MAyAE,2025-09-09,3,0,0
ePqz9fYlyuM,2025-09-09,135,2,0
QifxAUQq_rI,2025-09-09,1467,30,0
4gNnWrR8Rp8,2025-09-09,1251,14,0
1RWYbmJ5xgU,2025-09-09,380,4,5
Nb4kMH1dSGI,2025-09-09,1075,18,2
hy97cOL4i9M,2025-09-09,267,2,0
UGOVZz_48uk,2025-09-09,12,3,0
BIPu_eCYldI,2025-09-09,21453,922,95
lXrob6NVENo,2025-09-09,4,0,0
kBUjIFG2mcY,2025-09-09,98,1,1
j9w2RUzfXuI,2025-09-09,1813,7,1
7HBofZhUnHE,2025-09-09,325,0,0
mtEvnqmCUe8,2025-09-09,6,2,0
ld9Lh0rHdwc,2025-09-09,804,27,2
7m8p_lWRKlg,2025-09-09,607,13,0
R3Mg3eMyBS0,2025-09-09,22374,516,6
sRSXHivNMnw,2025-09-09,5,1,0
jk6eSlJL0Nw,2025-09-09,16,2,0
BUt0-UHIJcw,2025-09-09,12,0,0
iodlkHdua9Y,2025-09-09,202,1,0
kvCTLyNOvwQ,2025-09-09,325,2,1
